instance,seed,arm,included_in_comparison,reported_verdict,verified_sat_model,emergency_timeout,conflicts,instructions,cycles,branches,branch_misses,wall_s,record_id
j3037,7,kissat,False,unsat,False,False,322143,133475080335,76284243200,20695704456,1219855254,16.806097,0f0a6d5782bffe9a
noL_11_14,1,baseline,True,sat,True,False,4218261,1050260481352,604844856990,224912058968,9118679000,132.924401,d84180314f484f7f
noL_11_14,1,cadical,True,sat,True,False,325981,55220223953,32922753043,8489370574,542906651,7.279217,76889258215294c4
noL_11_14,1,kissat,True,sat,True,False,1521616,303256878467,154727818178,51244255867,2454980792,34.084917,42bb1d3906869e7e
noL_11_14,2,baseline,True,unknown,False,False,10000000,3042294386933,1588977244423,668852501780,23174724693,349.013128,a3123441e41e892b
noL_11_14,2,cadical,True,sat,True,False,256972,43227108792,26004752415,6665626140,429931011,5.776439,8f7d42630a344c85
noL_11_14,2,kissat,True,sat,True,False,354945,50666184711,27342043450,8632125719,462521157,6.032144,a7a8b911b35afff2
noL_11_14,3,baseline,True,unknown,False,False,10000000,3013960550233,1556649385399,663906848398,22701224332,343.047899,8ef5301cee4de6bf
noL_11_14,3,cadical,True,sat,True,False,369562,64088449094,38733908846,9812712217,637788620,8.582592,a3fe7fd3d3475b93
noL_11_14,3,kissat,True,sat,True,False,785061,135447955007,70650841679,22949799761,1159408561,15.587283,15c1d35e9781ce9a
noL_11_14,4,baseline,True,unknown,False,False,10000000,3033200743468,1566699904305,666785270748,23052000076,344.534808,6c5211e0b5e6220a
noL_11_14,4,cadical,True,sat,True,False,1334862,271416160406,160322646953,41131971090,2583508064,35.216969,7b61949645b0b6ce
noL_11_14,4,kissat,True,sat,True,False,6422820,1664498762048,841713597231,278611303705,12048483995,184.882614,f4fa329b3040300d
noL_11_14,5,baseline,True,unknown,False,False,10000000,3037031622574,1559643561742,668145008309,22998336060,343.035953,c95288aa51304eba
noL_11_14,5,cadical,True,sat,True,False,711435,135748672683,80660868483,20663517519,1316943686,17.754607,6db9e1bcabe9d80e
noL_11_14,5,kissat,True,sat,True,False,755576,130357155404,69469684672,22073229998,1121903363,15.401687,b9dc64eeb3c9a5fe
noL_11_14,6,baseline,True,unknown,False,False,10000000,3055960558340,1584720344819,672558576719,23164642825,348.295833,f22374e2135929e2
noL_11_14,6,cadical,True,sat,True,False,628563,116281857834,69768148926,17731823175,1141827086,15.345,e28a72e3dcbd4b2c
noL_11_14,6,kissat,True,sat,True,False,752166,132032470077,69522710612,22345129103,1128340010,15.307193,870e16a8d950d63b
noL_11_14,7,kissat,False,sat,True,False,2172463,443048212428,224539812039,74777236039,3515838294,49.458907,58eaf2b12d36f050
si2-b03m,1,baseline,True,sat,True,False,27091,19948382640,6716741768,4729360899,28685721,1.619648,535e06dcef7c05e5
si2-b03m,1,cadical,True,sat,True,False,46042,29177077382,12789209474,5088194067,53588105,3.073574,a570076358a7a305
si2-b03m,1,kissat,True,sat,True,False,56028,13808597130,5780704417,2671000182,40895706,1.469361,cfbc2d9eb63617d0
si2-b03m,2,baseline,True,sat,True,False,25703,21542454604,6866625646,5108597864,28217889,1.669086,6b600004bea3b201
si2-b03m,2,cadical,True,sat,True,False,27089,28955896206,10902180806,5128604878,44727969,2.621982,db335347c9bb7889
si2-b03m,2,kissat,True,sat,True,False,62618,14179511583,5846036030,2747555383,43062537,1.467828,89bf5bb43edb4ae9
si2-b03m,3,baseline,True,sat,True,False,37803,26328232104,9483250209,6233592372,44902209,2.220032,682e6676daabfb06
si2-b03m,3,cadical,True,sat,True,False,28242,22795120774,9906727399,3960804061,34519678,2.371313,c61da605d30250bb
si2-b03m,3,kissat,True,sat,True,False,47657,12786634725,5621344580,2445157251,31822029,1.418721,b0af9d399eb26471
si2-b03m,4,baseline,True,sat,True,False,38569,24358769481,8761677358,5751048240,42170762,2.070564,31903b7adb6be3aa
si2-b03m,4,cadical,True,sat,True,False,30252,24228044274,10209491213,4208341748,36526147,2.470612,c20d4fac1a058db1
