inproc_round: conflicts=309465 props_in_round=9232 window=183019 budget_w=183019 viv=9150/true sub_ck=5202228 tr=18301 orig=507928->507928 learned=57224->57224 yield=1006 db=565152 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=503 tred=0 tfailed=0 viv_short=270 viv_sub=132 pass_props els=0 bva=0 pure_sub=0 vivify=9157 tred=75 bva_n=0 \
inproc_round: conflicts=316607 props_in_round=14174 window=281894 budget_w=281894 viv=14094/true sub_ck=5484122 tr=28189 orig=507928->507928 learned=52917->52917 yield=1744 db=560845 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=872 tred=0 tfailed=0 viv_short=604 viv_sub=352 pass_props els=0 bva=0 pure_sub=0 vivify=14099 tred=75 bva_n=0 \
inproc_round: conflicts=323777 props_in_round=11137 window=221144 budget_w=221144 viv=11057/true sub_ck=5705266 tr=22114 orig=507928->507928 learned=60087->60087 yield=1166 db=568015 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=583 tred=0 tfailed=0 viv_short=284 viv_sub=137 pass_props els=0 bva=0 pure_sub=0 vivify=11062 tred=75 bva_n=0 \
inproc_round: conflicts=330975 props_in_round=9295 window=184300 budget_w=184300 viv=9215/true sub_ck=5889566 tr=18430 orig=507928->507928 learned=55905->55905 yield=968 db=563833 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=484 tred=0 tfailed=0 viv_short=154 viv_sub=70 pass_props els=0 bva=0 pure_sub=0 vivify=9220 tred=75 bva_n=0 \
inproc_round: conflicts=338200 props_in_round=15406 window=306475 budget_w=306475 viv=15323/true sub_ck=6196041 tr=30647 orig=507928->507928 learned=51377->51377 yield=1492 db=559305 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=746 tred=0 tfailed=0 viv_short=415 viv_sub=249 pass_props els=0 bva=0 pure_sub=0 vivify=15331 tred=75 bva_n=0 \
inproc_round: conflicts=345452 props_in_round=11156 window=221523 budget_w=221523 viv=11076/true sub_ck=6417564 tr=22152 orig=507928->507928 learned=58629->58629 yield=818 db=566557 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=409 tred=0 tfailed=0 viv_short=213 viv_sub=59 pass_props els=0 bva=0 pure_sub=0 vivify=11081 tred=75 bva_n=0 \
inproc_round: conflicts=352731 props_in_round=9045 window=179224 budget_w=179224 viv=8961/true sub_ck=6596788 tr=17922 orig=507928->507928 learned=54434->54434 yield=2076 db=562362 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=1038 tred=0 tfailed=0 viv_short=171 viv_sub=58 pass_props els=0 bva=0 pure_sub=0 vivify=8970 tred=75 bva_n=0 \
inproc_round: conflicts=360036 props_in_round=13282 window=264138 budget_w=264138 viv=13206/true sub_ck=6860926 tr=26413 orig=507928->507928 learned=50107->50107 yield=2594 db=558035 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=1297 tred=0 tfailed=0 viv_short=249 viv_sub=73 pass_props els=0 bva=0 pure_sub=0 vivify=13207 tred=75 bva_n=0 \
inproc_round: conflicts=367367 props_in_round=12190 window=242237 budget_w=242237 viv=12111/true sub_ck=7103163 tr=24223 orig=507928->507928 learned=57438->57438 yield=1910 db=565366 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=955 tred=0 tfailed=0 viv_short=322 viv_sub=182 pass_props els=0 bva=0 pure_sub=0 vivify=12115 tred=75 bva_n=0 \
inproc_round: conflicts=374723 props_in_round=9384 window=186146 budget_w=186146 viv=9307/true sub_ck=7289309 tr=18614 orig=507928->507928 learned=53361->53361 yield=1698 db=561289 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=849 tred=0 tfailed=0 viv_short=252 viv_sub=65 pass_props els=0 bva=0 pure_sub=0 vivify=9309 tred=75 bva_n=0 \
inproc_round: conflicts=382104 props_in_round=11142 window=221283 budget_w=221283 viv=11064/true sub_ck=7510592 tr=22128 orig=507928->507928 learned=60742->60742 yield=990 db=568670 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=495 tred=0 tfailed=0 viv_short=151 viv_sub=33 pass_props els=0 bva=0 pure_sub=0 vivify=11067 tred=75 bva_n=0 \
inproc_round: conflicts=389510 props_in_round=15026 window=299019 budget_w=299019 viv=14950/true sub_ck=7809611 tr=29901 orig=507928->507928 learned=56588->56588 yield=1370 db=564516 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=685 tred=0 tfailed=0 viv_short=299 viv_sub=90 pass_props els=0 bva=0 pure_sub=0 vivify=14951 tred=75 bva_n=0 \
inproc_round: conflicts=396940 props_in_round=11596 window=230326 budget_w=230326 viv=11516/true sub_ck=8039937 tr=23032 orig=507928->507928 learned=52559->52559 yield=1022 db=560487 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=511 tred=0 tfailed=0 viv_short=212 viv_sub=64 pass_props els=0 bva=0 pure_sub=0 vivify=11521 tred=75 bva_n=0 \
